"time","pp","Event1","PhoneNrSoFar","Event2","trial","typingErrorMadeOnTrial","partOfExperiment","timeConverted","timeInMsec","lanePosition","phoneNrLengthBeforeKeyPress","timeRelativeToTrialStart","phoneNrLengthAfterKeyPress"
"2016-11-10 10:20:16:642",1,"Start","","190",1,1,"singleDialing1",2016-11-10 10:20:16.642,1478769616642,NA,0,0,0
"2016-11-10 10:20:18:167",1,"Keypress","","Number0",1,1,"singleDialing1",2016-11-10 10:20:18.167,1478769618167,NA,0,1525,1
"2016-11-10 10:20:18:432",1,"Keypress","0","Number7",1,1,"singleDialing1",2016-11-10 10:20:18.432,1478769618432,NA,1,1790,2
"2016-11-10 10:20:18:878",1,"Keypress","07","Number5",1,1,"singleDialing1",2016-11-10 10:20:18.878,1478769618878,NA,2,2236,3
"2016-11-10 10:20:20:637",1,"Keypress","07","Back",1,1,"singleDialing1",2016-11-10 10:20:20.637,1478769620637,NA,2,3995,1
"2016-11-10 10:20:21:068",1,"Keypress","07","Number8",1,1,"singleDialing1",2016-11-10 10:20:21.068,1478769621068,NA,2,4426,3
"2016-11-10 10:20:21:334",1,"Keypress","078","Number5",1,1,"singleDialing1",2016-11-10 10:20:21.334,1478769621334,NA,3,4692,4
"2016-11-10 10:20:21:556",1,"Keypress","0785","Number4",1,1,"singleDialing1",2016-11-10 10:20:21.556,1478769621556,NA,4,4914,5
"2016-11-10 10:20:22:089",1,"Keypress","07854","Number3",1,1,"singleDialing1",2016-11-10 10:20:22.089,1478769622089,NA,5,5447,6
"2016-11-10 10:20:22:335",1,"Keypress","078543","Number2",1,1,"singleDialing1",2016-11-10 10:20:22.335,1478769622335,NA,6,5693,7
"2016-11-10 10:20:22:533",1,"Keypress","0785432","Number5",1,1,"singleDialing1",2016-11-10 10:20:22.533,1478769622533,NA,7,5891,8
"2016-11-10 10:20:22:765",1,"Keypress","07854325","Number6",1,1,"singleDialing1",2016-11-10 10:20:22.765,1478769622765,NA,8,6123,9
"2016-11-10 10:20:23:105",1,"Keypress","078543256","Number9",1,1,"singleDialing1",2016-11-10 10:20:23.105,1478769623105,NA,9,6463,10
"2016-11-10 10:20:23:325",1,"Keypress","0785432569","Number8",1,1,"singleDialing1",2016-11-10 10:20:23.325,1478769623325,NA,10,6683,11
"2016-11-10 10:20:23:552",1,"Correct","07854325698","190",1,1,"singleDialing1",2016-11-10 10:20:23.552,1478769623552,NA,11,6910,12
"2016-11-10 10:20:24:546",1,"Start","","190",2,0,"singleDialing1",2016-11-10 10:20:24.546,1478769624546,NA,0,0,0
"2016-11-10 10:20:24:767",1,"Keypress","","Number0",2,0,"singleDialing1",2016-11-10 10:20:24.767,1478769624767,NA,0,221,1
"2016-11-10 10:20:25:097",1,"Keypress","0","Number7",2,0,"singleDialing1",2016-11-10 10:20:25.097,1478769625097,NA,1,551,2
"2016-11-10 10:20:25:317",1,"Keypress","07","Number8",2,0,"singleDialing1",2016-11-10 10:20:25.317,1478769625317,NA,2,771,3
"2016-11-10 10:20:25:537",1,"Keypress","078","Number5",2,0,"singleDialing1",2016-11-10 10:20:25.537,1478769625537,NA,3,991,4
"2016-11-10 10:20:25:700",1,"Keypress","0785","Number4",2,0,"singleDialing1",2016-11-10 10:20:25.700,1478769625700,NA,4,1154,5
"2016-11-10 10:20:25:938",1,"Keypress","07854","Number3",2,0,"singleDialing1",2016-11-10 10:20:25.938,1478769625938,NA,5,1392,6
"2016-11-10 10:20:26:142",1,"Keypress","078543","Number2",2,0,"singleDialing1",2016-11-10 10:20:26.142,1478769626142,NA,6,1596,7
"2016-11-10 10:20:26:376",1,"Keypress","0785432","Number5",2,0,"singleDialing1",2016-11-10 10:20:26.376,1478769626376,NA,7,1830,8
"2016-11-10 10:20:26:587",1,"Keypress","07854325","Number6",2,0,"singleDialing1",2016-11-10 10:20:26.587,1478769626587,NA,8,2041,9
"2016-11-10 10:20:26:911",1,"Keypress","078543256","Number9",2,0,"singleDialing1",2016-11-10 10:20:26.911,1478769626911,NA,9,2365,10
"2016-11-10 10:20:27:108",1,"Keypress","0785432569","Number8",2,0,"singleDialing1",2016-11-10 10:20:27.108,1478769627108,NA,10,2562,11
"2016-11-10 10:20:27:373",1,"Correct","07854325698","190",2,0,"singleDialing1",2016-11-10 10:20:27.373,1478769627373,NA,11,2827,12
"2016-11-10 10:20:28:287",1,"Start","","190",3,0,"singleDialing1",2016-11-10 10:20:28.287,1478769628287,NA,0,0,0
"2016-11-10 10:20:28:596",1,"Keypress","","Number0",3,0,"singleDialing1",2016-11-10 10:20:28.596,1478769628596,NA,0,309,1
"2016-11-10 10:20:28:826",1,"Keypress","0","Number7",3,0,"singleDialing1",2016-11-10 10:20:28.826,1478769628826,NA,1,539,2
"2016-11-10 10:20:29:034",1,"Keypress","07","Number8",3,0,"singleDialing1",2016-11-10 10:20:29.034,1478769629034,NA,2,747,3
"2016-11-10 10:20:29:279",1,"Keypress","078","Number5",3,0,"singleDialing1",2016-11-10 10:20:29.279,1478769629279,NA,3,992,4
"2016-11-10 10:20:29:485",1,"Keypress","0785","Number4",3,0,"singleDialing1",2016-11-10 10:20:29.485,1478769629485,NA,4,1198,5
"2016-11-10 10:20:29:758",1,"Keypress","07854","Number3",3,0,"singleDialing1",2016-11-10 10:20:29.758,1478769629758,NA,5,1471,6
"2016-11-10 10:20:29:968",1,"Keypress","078543","Number2",3,0,"singleDialing1",2016-11-10 10:20:29.968,1478769629968,NA,6,1681,7
"2016-11-10 10:20:30:198",1,"Keypress","0785432","Number5",3,0,"singleDialing1",2016-11-10 10:20:30.198,1478769630198,NA,7,1911,8
"2016-11-10 10:20:30:416",1,"Keypress","07854325","Number6",3,0,"singleDialing1",2016-11-10 10:20:30.416,1478769630416,NA,8,2129,9
"2016-11-10 10:20:30:678",1,"Keypress","078543256","Number9",3,0,"singleDialing1",2016-11-10 10:20:30.678,1478769630678,NA,9,2391,10
"2016-11-10 10:20:30:931",1,"Keypress","0785432569","Number8",3,0,"singleDialing1",2016-11-10 10:20:30.931,1478769630931,NA,10,2644,11
"2016-11-10 10:20:31:203",1,"Correct","07854325698","190",3,0,"singleDialing1",2016-11-10 10:20:31.203,1478769631203,NA,11,2916,12
"2016-11-10 10:20:32:149",1,"Start","","190",4,0,"singleDialing1",2016-11-10 10:20:32.149,1478769632149,NA,0,0,0
"2016-11-10 10:20:32:392",1,"Keypress","","Number0",4,0,"singleDialing1",2016-11-10 10:20:32.392,1478769632392,NA,0,243,1
"2016-11-10 10:20:32:676",1,"Keypress","0","Number7",4,0,"singleDialing1",2016-11-10 10:20:32.676,1478769632676,NA,1,527,2
"2016-11-10 10:20:32:891",1,"Keypress","07","Number8",4,0,"singleDialing1",2016-11-10 10:20:32.891,1478769632891,NA,2,742,3
"2016-11-10 10:20:33:107",1,"Keypress","078","Number5",4,0,"singleDialing1",2016-11-10 10:20:33.107,1478769633107,NA,3,958,4
"2016-11-10 10:20:33:356",1,"Keypress","0785","Number4",4,0,"singleDialing1",2016-11-10 10:20:33.356,1478769633356,NA,4,1207,5
"2016-11-10 10:20:33:622",1,"Keypress","07854","Number3",4,0,"singleDialing1",2016-11-10 10:20:33.622,1478769633622,NA,5,1473,6
"2016-11-10 10:20:33:820",1,"Keypress","078543","Number2",4,0,"singleDialing1",2016-11-10 10:20:33.820,1478769633820,NA,6,1671,7
"2016-11-10 10:20:34:083",1,"Keypress","0785432","Number5",4,0,"singleDialing1",2016-11-10 10:20:34.083,1478769634083,NA,7,1934,8
"2016-11-10 10:20:34:337",1,"Keypress","07854325","Number6",4,0,"singleDialing1",2016-11-10 10:20:34.337,1478769634337,NA,8,2188,9
"2016-11-10 10:20:34:618",1,"Keypress","078543256","Number9",4,0,"singleDialing1",2016-11-10 10:20:34.618,1478769634618,NA,9,2469,10
"2016-11-10 10:20:34:847",1,"Keypress","0785432569","Number8",4,0,"singleDialing1",2016-11-10 10:20:34.847,1478769634847,NA,10,2698,11
"2016-11-10 10:20:35:148",1,"Correct","07854325698","190",4,0,"singleDialing1",2016-11-10 10:20:35.148,1478769635148,NA,11,2999,12
"2016-11-10 10:20:36:028",1,"Start","","190",5,0,"singleDialing1",2016-11-10 10:20:36.028,1478769636028,NA,0,0,0
