"time","posX","posY","posZ","rotationX","rotationY","rotationZ","rotationW","speed","steerPosition","gasPosition","brakePosition","engineRunning","driver","normalizedTime","trial","trialTime"
1478085625576,0.008,0.224,24400.002,-0.0013,-5e-04,0,1,0.01,0.0017,0,0,"true","A",51873,1,0
1478085625626,0.008,0.224,24399.998,-0.0012,-5e-04,0,1,0.41,0.0017,0,0,"true","A",51923,1,50
1478085625676,0.008,0.224,24399.988,-0.0011,-5e-04,0,1,0.83,0.0017,0,0,"true","A",51973,1,100
1478085625726,0.008,0.224,24399.973,-0.0011,-5e-04,0,1,1.29,0.0017,0,0,"true","A",52023,1,150
1478085625772,0.008,0.224,24399.951,-0.0011,-5e-04,0,1,1.78,0.0017,0,0,"true","A",52069,1,196
1478085625823,0.008,0.224,24399.922,-0.0011,-5e-04,0,1,2.3,0.0017,0,0,"true","A",52120,1,247
1478085625874,0.008,0.224,24399.885,-0.0011,-4e-04,0,1,2.85,0.0017,0,0,"true","A",52171,1,298
1478085625924,0.008,0.224,24399.84,-0.001,-4e-04,0,1,3.43,0.0017,0,0,"true","A",52221,1,348
1478085625975,0.008,0.224,24399.785,-0.001,-4e-04,0,1,4.04,0.0017,0,0,"true","A",52272,1,399
1478085626026,0.008,0.224,24399.723,-0.001,-4e-04,0,1,4.66,0.0017,0,0,"true","A",52323,1,450
1478085626076,0.008,0.224,24399.65,-0.001,-4e-04,0,1,5.31,0.0017,0,0,"true","A",52373,1,500
1478085626126,0.008,0.224,24399.57,-0.001,-4e-04,0,1,5.97,0.0017,0,0,"true","A",52423,1,550
1478085626172,0.008,0.224,24399.48,-0.001,-3e-04,0,1,6.64,0.0017,0,0,"true","A",52469,1,596
1478085626222,0.008,0.224,24399.383,-0.001,-3e-04,0,1,7.32,0.0017,0,0,"true","A",52519,1,646
1478085626273,0.008,0.224,24399.275,-0.001,-3e-04,0,1,7.99,0.0017,0,0,"true","A",52570,1,697
1478085626325,0.008,0.224,24399.158,-0.001,-2e-04,0,1,8.66,0.0017,0,0,"true","A",52622,1,749
1478085626384,0.008,0.224,24399.031,-0.001,-2e-04,0,1,9.32,0.0017,0,0,"true","A",52681,1,808
1478085626426,0.008,0.224,24398.895,-0.001,-2e-04,0,1,9.97,0.0017,0,0,"true","A",52723,1,850
1478085626476,0.008,0.224,24398.75,-0.001,-1e-04,0,1,10.66,0.0017,0,0,"true","A",52773,1,900
1478085626522,0.008,0.224,24398.596,-0.001,-1e-04,0,1,11.39,0.0017,0,0,"true","A",52819,1,946
1478085626572,0.008,0.224,24398.43,-0.001,0,0,1,12.17,0.0017,0,0,"true","A",52869,1,996
1478085626623,0.007,0.224,24398.254,-9e-04,0,0,1,12.98,0.0017,0,0,"true","A",52920,1,1047
1478085626673,0.007,0.224,24398.066,-9e-04,1e-04,0,1,13.83,0.0017,0,0,"true","A",52970,1,1097
1478085626724,0.007,0.225,24397.867,-9e-04,1e-04,0,1,14.7,0.0017,0,0,"true","A",53021,1,1148
1478085626774,0.007,0.225,24397.654,-9e-04,2e-04,0,1,15.59,0.0017,0,0,"true","A",53071,1,1198
1478085626825,0.006,0.225,24397.43,-9e-04,3e-04,0,1,16.48,0.0017,0,0,"true","A",53122,1,1249
1478085626875,0.006,0.225,24397.193,-9e-04,3e-04,0,1,17.36,0.0017,0,0,"true","A",53172,1,1299
1478085626926,0.006,0.225,24396.945,-9e-04,4e-04,0,1,18.16,0.0017,0,0,"true","A",53223,1,1350
1478085626976,0.005,0.224,24396.686,-0.001,5e-04,0,1,18.86,0.0017,0,0,"true","A",53273,1,1400
1478085627022,0.005,0.224,24396.418,-0.001,6e-04,0,1,19.45,0.0017,0,0,"true","A",53319,1,1446
1478085627072,0.004,0.224,24396.143,-0.0011,7e-04,0,1,19.96,0.0017,0,0,"true","A",53369,1,1496
1478085627124,0.003,0.224,24395.86,-0.0011,7e-04,0,1,20.48,0.0017,0,0,"true","A",53421,1,1548
1478085627175,0.003,0.224,24395.57,-0.0011,8e-04,0,1,21,0.0017,0,0,"true","A",53472,1,1599
1478085627226,0.002,0.224,24395.273,-0.0011,9e-04,0,1,21.54,0.0017,0,0,"true","A",53523,1,1650
1478085627276,0.001,0.224,24394.969,-0.0011,0.001,0,1,22.1,0.0017,0,0,"true","A",53573,1,1700
1478085627322,0,0.224,24394.656,-0.0011,0.0011,0,1,22.67,0.0017,0,0,"true","A",53619,1,1746
1478085627373,-0.001,0.224,24394.336,-0.001,0.0012,0,1,23.25,0.0017,0,0,"true","A",53670,1,1797
1478085627423,-0.002,0.224,24394.006,-0.001,0.0013,0,1,23.85,0.0017,0,0,"true","A",53720,1,1847
1478085627474,-0.003,0.224,24393.668,-0.001,0.0014,0,1,24.46,0.0017,0,0,"true","A",53771,1,1898
1478085627525,-0.005,0.224,24393.324,-0.001,0.0015,0,1,25.08,0.0017,0,0,"true","A",53822,1,1949
1478085627575,-0.006,0.224,24392.97,-0.001,0.0016,0,1,25.72,0.0017,0,0,"true","A",53872,1,1999
1478085627625,-0.007,0.224,24392.61,-0.001,0.0018,0,1,26.36,0.0017,0,0,"true","A",53922,1,2049
1478085627675,-0.009,0.224,24392.236,-0.001,0.0019,0,1,27.01,0.0017,0,0,"true","A",53972,1,2099
1478085627725,-0.011,0.224,24391.854,-0.001,0.002,0,1,27.67,0.0017,0,0,"true","A",54022,1,2149
1478085627775,-0.013,0.224,24391.463,-0.001,0.0021,0,1,28.34,0.0017,0,0,"true","A",54072,1,2199
1478085627825,-0.015,0.224,24391.062,-0.001,0.0022,0,1,29.01,0.0017,0,0,"true","A",54122,1,2249
1478085627875,-0.017,0.224,24390.654,-0.001,0.0024,0,1,29.68,0.0017,0,0,"true","A",54172,1,2299
1478085627926,-0.02,0.224,24390.236,-0.001,0.0025,0,1,30.35,0.0017,0,0,"true","A",54223,1,2350
1478085627976,-0.022,0.224,24389.809,-0.001,0.0026,0,1,31.01,0.0017,0,0,"true","A",54273,1,2400
1478085628026,-0.025,0.224,24389.371,-0.001,0.0028,0,1,31.67,0.0017,0,0,"true","A",54323,1,2450
1478085628076,-0.028,0.224,24388.924,-0.001,0.0029,0,1,32.33,0.0017,0,0,"true","A",54373,1,2500
1478085628122,-0.031,0.224,24388.469,-0.001,0.0031,0,1,32.97,0.0017,0,0,"true","A",54419,1,2546
1478085628172,-0.034,0.224,24388.004,-0.001,0.0032,0,1,33.59,0.0017,0,0,"true","A",54469,1,2596
1478085628223,-0.038,0.224,24387.531,-0.001,0.0033,0,1,34.2,0.0017,0,0,"true","A",54520,1,2647
